word,count
service,5829
payment,2179
account,1462
platinum,1430
transaction,1308
pay,1014
call,996
experience,944
credit,928
gold,901
delta,735
no,669
worst,632
cancel,624
email,615
offers,613
called,608
2,582
bad,539
never,538
money,521
due,520
hold,508
dispute,497
days,487
this,467
charged,465
made,447
terrible,445
why,440
tried,429
charge,418
getting,416
ever,412
disappointed,410
poor,409
horrible,407
problem,403
charges,396
travel,393
