word,count
credit,7809
service,5993
gold,3971
platinum,3877
delta,3426
payment,3089
account,2623
bonus,1832
offers,1776
points,1461
transaction,1420
rewards,1380
call,1216
email,1198
yes,1069
cards,1054
miles,979
pay,967
skymiles,967
2,946
care,895
business,883
purchase,839
statement,780
could,772
called,739
made,735
receive,735
never,728
spend,711
way,705
issue,694
apply,683
3,681
already,669
used,656
great,654
applied,651
due,648
days,647
